a = 79, p = 61925695086291820684176783061
631865885707351147456086,14362927658075674318955187866,855150223411825587623408
16673655555319988674,60461466267067811797165764000,12863185861914487260
13295968147545439932,25075596338602906511880816692,11567523377230085640
9763534265208463056,16962814792048723528207934112,11715462235063853060
10553332503552475604,3279692902228336531115133788,14847115285211348850
11802758528053575208,35961943820880076127390794452,10343289043486467252
11994453862428074522,12461233487973199735420347605,12311378195820811544
11130650537297404972,35449417677014579262435994082,17692964501445985970
9988203200072623240,49639499509039702323272650495,10818578727345547424
15954348113945184578,439500043391308231041189061,11263146887857645278
18203574931923036912,30406451790424141678256271068,10609509091069932298
12303775489595373508,61602039436553063548034574731,10196151090996629276
14172677918016508466,56559951310313794124985410992,16118128247576031390
10166318866332252630,23915701889463603824386957262,13782389700273053036
17855879025934972780,405843349364136473576633690,16567790820350993790
13785873973756620244,485063972055511431297593954,11005290232838512438
17189471349141558472,35530977099613436402523075809,12430234115518696892
10755983240460429214,51474895933725989694077659435,13879021834291789166
12162148229899338578,18585533350412010413405149321,15687112806330522262
14099489379508510540,42394692979078195930325865291,14789897225226102208
17454425297801798626,26464271753723182453081563984,11020421361916535746
13839222816237243702,36264078319529982634671646250,9637022440376169004
11059065548519434516,33674859966856456032459396211,10516042067854679390
12452152745067203364,18428507079709420113895418140,13905655308259150608
13529791655308842030,15340649735471144061027767372,9286010019162168162
18107593651892292764,6651509769829027910567859737,12171878496388064480
13054494565790887692,41368654475060289927049725571,17769612386681843416
16952402947356903876,46302661640560229343051629783,15864668567190902514
17401402024814162380,15156522475466496574518532686,14086650291243545616
12460120583838837194,31819222365890134771477189704,13301440851541579126
